,grid_topology,pv_penetration,hp_penetration,ev_penetration,lem_with_lem,average_energy_price_with_lem,avg_share_balancing_energy_with_lem,avg_normalized_market_energy_with_lem,avg_ratio_gen_dem_with_lem,avg_ratio_hp_hh_with_lem,avg_ratio_pv_hp_with_lem,peak_power_with_lem,season_with_lem,max_loads_with_lem,grid_topology_without_lem,lem_without_lem,average_energy_price_without_lem,avg_share_balancing_energy_without_lem,avg_normalized_market_energy_without_lem,avg_ratio_gen_dem_without_lem,avg_ratio_hp_hh_without_lem,avg_ratio_pv_hp_without_lem,peak_power_without_lem,season_without_lem,max_loads_without_lem,average_energy_price_ratio,peak_power_ratio,max_loads_ratio
0,Countryside,0.0,0.0,0.0,True,0.3904,0.1225,0.2056,0.0,0.0,0.0,-24.48,winter,19.8,Countryside,False,0.3767,0.0,0.1751,0.0,0.0,0.0,-24.48,winter,19.8,1.036368462967879,1.0,1.0
1,Countryside,0.0,0.0,0.25,True,0.389,0.1211,0.2079,0.0,0.0,0.0,-26.42,summer,20.24,Countryside,False,0.3767,0.0,0.1801,0.0,0.0,0.0,-31.636,summer,22.46,1.0326519777010885,0.8351245416613985,0.9011576135351735
2,Countryside,0.0,0.0,0.5,True,0.3865,0.1211,0.2079,0.0,0.0,0.0,-37.744,summer,21.54,Countryside,False,0.3767,0.0,0.1872,0.0,0.0,0.0,-37.692,winter,25.58,1.0260153968675338,1.0013796030988007,0.8420641125879593
3,Countryside,0.0,0.0,0.75,True,0.3843,0.1221,0.2057,0.0,0.0,0.0,-38.3,summer,22.24,Countryside,False,0.3767,0.0,0.1933,0.0,0.0,0.0,-48.692,winter,28.23,1.0201752057340059,0.7865768504066376,0.7878143818632659
4,Countryside,0.0,0.0,1.0,True,0.3835,0.1209,0.2075,0.0,0.0,0.0,-40.672,transition,23.59,Countryside,False,0.3767,0.0,0.1991,0.0,0.0,0.0,-56.076,winter,30.7,1.0180514998672685,0.7253013767030458,0.7684039087947883
5,Countryside,0.0,0.25,0.0,True,0.3855,0.139,0.3098,0.0,0.7508,0.0,-80.404,winter,49.19,Countryside,False,0.3767,0.0,0.3019,0.0,0.7253,0.0,-74.588,winter,51.67,1.023360764534112,1.0779750093848877,0.9520030965744145
6,Countryside,0.0,0.25,0.25,True,0.3851,0.1426,0.3135,0.0,0.7504,0.0,-80.404,winter,49.77,Countryside,False,0.3767,0.0,0.3068,0.0,0.7253,0.0,-74.588,winter,52.41,1.0222989116007433,1.0779750093848877,0.949627933600458
7,Countryside,0.0,0.25,0.5,True,0.3835,0.1424,0.3134,0.0,0.7504,0.0,-80.404,winter,50.14,Countryside,False,0.3767,0.0,0.314,0.0,0.7253,0.0,-74.588,winter,52.61,1.0180514998672685,1.0779750093848877,0.9530507508078312
8,Countryside,0.0,0.25,0.75,True,0.382,0.1433,0.3113,0.0,0.7504,0.0,-82.096,winter,50.69,Countryside,False,0.3767,0.0,0.32,0.0,0.7253,0.0,-82.632,winter,53.22,1.0140695513671356,0.9935134088488721,0.9524614806463735
9,Countryside,0.0,0.25,1.0,True,0.3816,0.1426,0.3131,0.0,0.7504,0.0,-82.72,winter,51.24,Countryside,False,0.3767,0.0,0.3259,0.0,0.7253,0.0,-84.152,winter,54.0,1.013007698433767,0.9829831733054473,0.9488888888888889
