,grid_topology,pv_penetration,hp_penetration,ev_penetration,lem_with_lem,average_energy_price_with_lem,avg_share_balancing_energy_with_lem,avg_normalized_market_energy_with_lem,avg_ratio_gen_dem_with_lem,avg_ratio_hp_hh_with_lem,avg_ratio_pv_hp_with_lem,peak_power_with_lem,season_with_lem,max_loads_with_lem,grid_topology_without_lem,lem_without_lem,average_energy_price_without_lem,avg_share_balancing_energy_without_lem,avg_normalized_market_energy_without_lem,avg_ratio_gen_dem_without_lem,avg_ratio_hp_hh_without_lem,avg_ratio_pv_hp_without_lem,peak_power_without_lem,season_without_lem,max_loads_without_lem,average_energy_price_ratio,peak_power_ratio,max_loads_ratio
0,Rural,0.0,0.0,0.0,True,0.3895,0.1166,0.2049,0.0,0.0,0.0,-48.656,winter,40.56,Rural,False,0.3767,0.0,0.1596,0.0,0.0,0.0,-48.656,winter,40.56,1.0339792938677994,1.0,1.0
1,Rural,0.0,0.0,0.25,True,0.3874,0.114,0.2098,0.0,0.0,0.0,-51.592,winter,42.72,Rural,False,0.3767,0.0,0.1678,0.0,0.0,0.0,-58.492,summer,45.68,1.0284045659676135,0.8820351501059974,0.9352014010507881
2,Rural,0.0,0.0,0.5,True,0.3845,0.1119,0.2133,0.0,0.0,0.0,-62.224,transition,45.78,Rural,False,0.3767,0.0,0.1781,0.0,0.0,0.0,-81.308,winter,57.21,1.0207061322006903,0.7652875485807054,0.800209753539591
3,Rural,0.0,0.0,0.75,True,0.383,0.1092,0.2192,0.0,0.0,0.0,-64.548,transition,48.63,Rural,False,0.3767,0.0,0.1876,0.0,0.0,0.0,-92.308,winter,64.51,1.0167241837005576,0.6992676691077696,0.7538366144783755
4,Rural,0.0,0.0,1.0,True,0.3814,0.1083,0.2204,0.0,0.0,0.0,-73.572,winter,51.56,Rural,False,0.3767,0.0,0.1958,0.0,0.0,0.0,-113.092,winter,72.63,1.0124767719670826,0.650549994694585,0.7098994905686357
5,Rural,0.0,0.25,0.0,True,0.3855,0.113,0.258,0.0,0.3534,0.0,-104.984,winter,84.41,Rural,False,0.3767,0.0,0.2264,0.0,0.3985,0.0,-108.064,winter,85.36,1.023360764534112,0.9714983713355049,0.9888706654170571
6,Rural,0.0,0.25,0.25,True,0.385,0.1121,0.2702,0.0,0.3546,0.0,-105.492,winter,86.6,Rural,False,0.3767,0.0,0.2346,0.0,0.3985,0.0,-119.064,winter,87.74,1.0220334483674012,0.8860108849022376,0.9870070663323456
7,Rural,0.0,0.25,0.5,True,0.3828,0.1106,0.2737,0.0,0.3546,0.0,-106.26,winter,89.26,Rural,False,0.3767,0.0,0.2449,0.0,0.3985,0.0,-136.948,winter,92.08,1.016193257233873,0.7759149458188509,0.9693744569939184
8,Rural,0.0,0.25,0.75,True,0.3816,0.1082,0.2795,0.0,0.3546,0.0,-107.448,winter,90.7,Rural,False,0.3767,0.0,0.2544,0.0,0.3985,0.0,-147.948,winter,94.61,1.013007698433767,0.7262551707356638,0.9586724447732798
9,Rural,0.0,0.25,1.0,True,0.3804,0.1076,0.2808,0.0,0.3546,0.0,-109.544,winter,92.83,Rural,False,0.3767,0.0,0.2626,0.0,0.3985,0.0,-154.424,winter,101.25,1.0098221396336609,0.7093716002693882,0.9168395061728395
10,Rural,0.0,0.5,0.0,True,0.3823,0.1166,0.3237,0.0,0.8269,0.0,-199.0,winter,158.93,Rural,False,0.3767,0.0,0.3096,0.0,0.8838,0.0,-195.036,winter,159.67,1.014865941067162,1.0203244529215119,0.9953654412225216
11,Rural,0.0,0.5,0.25,True,0.382,0.1154,0.3359,0.0,0.828,0.0,-200.86,winter,160.59,Rural,False,0.3767,0.0,0.3178,0.0,0.8838,0.0,-195.544,winter,161.12,1.0140695513671356,1.0271856973366609,0.9967105263157895
12,Rural,0.0,0.5,0.5,True,0.3817,0.1131,0.3502,0.0,0.8305,0.0,-200.86,winter,163.41,Rural,False,0.3767,0.0,0.3281,0.0,0.8838,0.0,-217.544,winter,164.01,1.0132731616671091,0.9233074688338911,0.9963416864825316
13,Rural,0.0,0.5,0.75,True,0.3807,0.111,0.356,0.0,0.8305,0.0,-201.128,winter,164.52,Rural,False,0.3767,0.0,0.3376,0.0,0.8838,0.0,-217.544,winter,165.96,1.0106185293336873,0.9245394035229654,0.9913232104121475
14,Rural,0.0,0.5,1.0,True,0.3797,0.1105,0.3572,0.0,0.8305,0.0,-204.888,winter,166.76,Rural,False,0.3767,0.0,0.3458,0.0,0.8838,0.0,-218.568,winter,169.11,1.0079638970002656,0.9374107829142417,0.9861037194725325
15,Rural,0.0,0.75,0.0,True,0.3806,0.1151,0.3882,0.0,1.2536,0.0,-328.028,winter,214.74,Rural,False,0.3767,0.0,0.384,0.0,1.3252,0.0,-284.348,winter,226.58,1.010353066100345,1.153614584945208,0.9477447259246182
16,Rural,0.0,0.75,0.25,True,0.3805,0.1137,0.4003,0.0,1.2547,0.0,-329.888,winter,216.47,Rural,False,0.3767,0.0,0.3922,0.0,1.3252,0.0,-284.348,winter,227.56,1.010087602867003,1.1601558653480946,0.9512656002812445
17,Rural,0.0,0.75,0.5,True,0.3803,0.1117,0.4146,0.0,1.2572,0.0,-329.888,winter,218.74,Rural,False,0.3767,0.0,0.4025,0.0,1.3252,0.0,-284.348,winter,229.88,1.0095566764003188,1.1601558653480946,0.9515399338785454
18,Rural,0.0,0.75,0.75,True,0.3802,0.1111,0.4268,0.0,1.2582,0.0,-345.132,winter,220.45,Rural,False,0.3767,0.0,0.412,0.0,1.3252,0.0,-284.348,winter,231.15,1.0092912131669765,1.2137662301123975,0.953709712308025
19,Rural,0.0,0.75,1.0,True,0.3793,0.1106,0.428,0.0,1.2582,0.0,-348.892,winter,222.62,Rural,False,0.3767,0.0,0.4202,0.0,1.3252,0.0,-284.348,winter,233.46,1.0069020440668968,1.226989463615007,0.9535680630514863
20,Rural,0.0,1.0,0.0,True,0.3791,0.1197,0.4386,0.0,1.6291,0.0,-437.62,winter,274.39,Rural,False,0.3767,0.0,0.4567,0.0,1.762,0.0,-329.672,winter,275.93,1.0063711176002124,1.3274406076342546,0.9944188743521907
21,Rural,0.0,1.0,0.25,True,0.379,0.118,0.4507,0.0,1.6302,0.0,-439.48,winter,276.25,Rural,False,0.3767,0.0,0.4649,0.0,1.762,0.0,-329.672,winter,276.64,1.0061056543668703,1.333082579048266,0.9985902255639099
22,Rural,0.0,1.0,0.5,True,0.3789,0.1157,0.465,0.0,1.6327,0.0,-439.48,winter,278.68,Rural,False,0.3767,0.0,0.4752,0.0,1.762,0.0,-329.672,winter,278.95,1.0058401911335282,1.333082579048266,0.9990320846029755
23,Rural,0.0,1.0,0.75,True,0.3788,0.1146,0.4771,0.0,1.6337,0.0,-454.724,winter,280.48,Rural,False,0.3767,0.0,0.4847,0.0,1.762,0.0,-329.672,winter,280.21,1.0055747279001859,1.3793224780994442,1.0009635630420044
24,Rural,0.0,1.0,1.0,True,0.3786,0.114,0.4847,0.0,1.6352,0.0,-458.164,winter,284.4,Rural,False,0.3767,0.0,0.4929,0.0,1.762,0.0,-329.672,winter,281.74,1.0050438014335015,1.389757091897401,1.0094413288847872
25,Rural,0.25,0.0,0.0,True,0.3354,0.245,0.2057,0.4136,0.0,inf,48.264,summer,39.31,Rural,False,0.3379,0.0,0.1796,0.4092,0.0,inf,-47.464,winter,38.68,0.9926013613495117,1.0168548794876118,1.016287487073423
26,Rural,0.25,0.0,0.25,True,0.3197,0.2322,0.2176,0.4514,0.0,inf,61.176,summer,43.2,Rural,False,0.3342,0.0,0.1943,0.4652,0.0,inf,-56.684,winter,41.99,0.9566128067025733,1.079246348175852,1.0288163848535365
27,Rural,0.25,0.0,0.5,True,0.3219,0.2014,0.2375,0.4232,0.0,inf,-82.684,transition,46.16,Rural,False,0.3366,0.0,0.2046,0.4408,0.0,inf,-81.308,winter,51.48,0.9563279857397504,1.0169233039799281,0.8966588966588966
28,Rural,0.25,0.0,0.75,True,0.3241,0.1856,0.2494,0.4035,0.0,inf,-67.232,winter,49.0,Rural,False,0.3388,0.0,0.214,0.4175,0.0,inf,-92.308,winter,56.23,0.9566115702479339,0.7283442388525371,0.8714209496709941
29,Rural,0.25,0.0,1.0,True,0.3258,0.1725,0.2536,0.3896,0.0,inf,-110.18,summer,54.85,Rural,False,0.3403,0.0,0.2222,0.4023,0.0,inf,-103.72,winter,65.37,0.9573905377607993,1.0622830698033168,0.8390699097445311
30,Rural,0.25,0.25,0.0,True,0.2916,0.1894,0.291,0.6072,0.402,3.298,139.972,summer,88.84,Rural,False,0.328,0.0,0.2791,0.6399,0.4,9.794,-101.728,winter,82.53,0.8890243902439025,1.3759436929852156,1.0764570459226948
31,Rural,0.25,0.25,0.25,True,0.2871,0.1841,0.295,0.5776,0.4027,3.4377,124.21599999999998,summer,88.47,Rural,False,0.326,0.0,0.2825,0.6139,0.4006,9.8052,-115.428,winter,86.01,0.8806748466257669,1.076134040267526,1.028601325427276
32,Rural,0.25,0.25,0.5,True,0.2905,0.1599,0.3186,0.5456,0.403,3.441,122.708,summer,91.43,Rural,False,0.3284,0.0,0.2928,0.5884,0.4006,9.8052,-136.144,winter,90.29,0.8845919610231424,0.9013103772476201,1.0126259829438475
33,Rural,0.25,0.25,0.75,True,0.2964,0.1464,0.3392,0.5253,0.4035,3.4068,125.044,summer,91.59,Rural,False,0.3306,0.0,0.3023,0.5612,0.4006,9.8052,-147.144,winter,92.3,0.896551724137931,0.849806991790355,0.9923076923076923
34,Rural,0.25,0.25,1.0,True,0.2958,0.1335,0.3469,0.5077,0.4032,3.4173,126.756,summer,94.19,Rural,False,0.332,0.0,0.3105,0.5411,0.4006,9.8052,-150.788,winter,98.64,0.8909638554216868,0.8406239223280366,0.9548864557988646
35,Rural,0.25,0.5,0.0,True,0.2977,0.1622,0.3631,0.5525,0.8522,2.3101,-195.704,winter,152.62,Rural,False,0.3346,0.0,0.3638,0.5789,0.8936,5.7082,-208.032,winter,154.47,0.8897190675433354,0.9407398861713583,0.9880235644461708
