,grid_topology,pv_penetration,hp_penetration,ev_penetration,season,lem,controller,fcast,average_energy_price,peak_power,max_loads,energy_in,energy_out,energy_market,energy_balancing,costs_market,costs_balancing,energy_market_in,energy_balancing_in,energy_market_out,energy_balancing_out,main_in,main_out,hh_in,hh_out,pv_in,pv_out,bat_in,bat_out,hp_in,hp_out,ev_in,ev_out,energy_main_pos,energy_main_neg,energy_main_net,energy_hh_pos,energy_hh_neg,energy_hh_net,energy_pv_pos,energy_pv_neg,energy_pv_net,energy_bat_pos,energy_bat_neg,energy_bat_net,energy_hp_pos,energy_hp_neg,energy_hp_net,energy_ev_pos,energy_ev_neg,energy_ev_net,share_balancing_energy,normalized_market_energy,ratio_gen_dem,ratio_hp_hh,ratio_pv_hp
0,Rural,0.0,0.0,0.0,summer,True,mpc,naive,0.3899311353013657,-41.248,"[41.248, 40.656, 39.572, 39.204, 38.632, 38.372, 37.984, 37.656, 37.272, 37.168, 36.896, 36.872, 36.784, 36.768, 36.688, 36.552, 36.54, 36.348, 36.256, 36.16, 35.856, 35.724, 35.664, 35.636, 35.364, 35.34, 35.224, 35.2, 35.156, 34.988, 34.952, 34.808, 34.74, 34.728, 34.628, 34.568, 34.484, 34.48, 34.388, 34.332, 34.32, 34.256, 34.112, 34.008, 33.932, 33.908, 33.872, 33.808, 33.736, 33.732, 33.66, 33.628, 33.608, 33.576, 33.556, 33.44, 33.392, 33.312, 33.24, 33.24, 33.228, 33.188, 33.184, 33.176, 33.128, 33.128, 33.12, 33.032, 33.028, 32.988, 32.952, 32.896, 32.752, 32.716, 32.672, 32.632, 32.62, 32.536, 32.496, 32.48, 32.472, 32.452, 32.32, 32.316, 32.312, 32.292, 32.264, 32.252, 32.208, 32.208, 32.188, 32.164, 32.148, 32.14, 32.128, 32.056, 32.036, 31.992, 31.976, 31.96, 31.96]",0,-16328,4721,640,,,640,0,4081,640,0,-16326,0,-16328,0,0,0,0,0,0,0,0,0,-16326,-16326,0,-16328,-16328,0,0,0,0,0,0,0,0,0,0,0,0,0.11938,0.20025,0.0,0.0,
1,Rural,0.0,0.0,0.0,transition,True,mpc,naive,0.3891005793469888,-38.58,"[38.58, 37.056, 36.552, 35.48, 35.448, 35.372, 35.06, 35.056, 34.496, 34.28, 34.272, 34.24, 34.236, 34.128, 33.916, 33.872, 33.816, 33.76, 33.7, 33.684, 33.664, 33.652, 33.56, 33.556, 33.312, 33.052, 33.04, 32.964, 32.772, 32.624, 32.62, 32.564, 32.468, 32.468, 32.352, 32.2, 32.196, 32.124, 32.116, 32.096, 32.064, 32.008, 31.98, 31.952, 31.932, 31.876, 31.864, 31.848, 31.788, 31.784, 31.74, 31.712, 31.708, 31.696, 31.684, 31.676, 31.648, 31.636, 31.472, 31.448, 31.344, 31.12, 31.112, 31.092, 31.088, 31.08, 31.044, 31.044, 30.928, 30.852, 30.832, 30.784, 30.724, 30.716, 30.652, 30.648, 30.588, 30.564, 30.52, 30.5, 30.5, 30.444, 30.4, 30.376, 30.368, 30.352, 30.332, 30.28, 30.264, 30.236, 30.192, 30.18, 30.152, 30.148, 30.148, 30.1, 30.064, 30.032, 30.028, 30.008, 29.992]",0,-15985,4583,587,,,587,0,3996,587,0,-15983,0,-15985,0,0,0,0,0,0,0,0,0,-15983,-15983,0,-15985,-15985,0,0,0,0,0,0,0,0,0,0,0,0,0.11354,0.1944,0.0,0.0,
2,Rural,0.0,0.0,0.0,winter,True,mpc,naive,0.390036189641576,-48.656,"[48.656, 46.652, 46.408, 45.916, 45.776, 45.452, 45.296, 45.164, 45.076, 45.052, 44.444, 44.244, 44.016, 44.0, 43.724, 43.7, 43.624, 43.448, 43.2, 42.98, 42.908, 42.732, 42.612, 42.284, 42.152, 42.052, 41.952, 41.884, 41.728, 41.7, 41.524, 41.48, 41.436, 41.408, 41.336, 41.244, 41.104, 40.948, 40.828, 40.696, 40.56, 40.476, 40.384, 40.268, 40.248, 40.24, 40.12, 40.032, 39.768, 39.664, 39.548, 39.532, 39.476, 39.368, 39.368, 39.328, 39.296, 39.2, 39.012, 38.84, 38.812, 38.8, 38.664, 38.652, 38.56, 38.504, 38.416, 38.34, 38.308, 38.256, 38.224, 38.132, 38.088, 38.068, 38.024, 38.004, 37.968, 37.964, 37.964, 37.884, 37.792, 37.78, 37.776, 37.724, 37.716, 37.68, 37.672, 37.672, 37.664, 37.604, 37.568, 37.52, 37.364, 37.3, 37.248, 37.232, 37.136, 37.092, 37.04, 37.032, 36.956]",0,-18764,5433,741,,,742,0,4691,741,0,-18762,0,-18764,0,0,0,0,0,0,0,0,0,-18762,-18762,0,-18764,-18764,0,0,0,0,0,0,0,0,0,0,0,0,0.12002,0.23046,0.0,0.0,
3,Rural,0.0,0.0,0.25,summer,True,mpc,naive,0.387330767880922,-43.912,"[43.912, 43.24, 42.648, 42.536, 41.808, 41.748, 41.484, 40.58, 40.112, 40.012, 39.752, 39.504, 38.988, 38.932, 38.868, 38.788, 38.5, 38.46, 38.416, 38.408, 38.264, 37.98, 37.912, 37.676, 37.504, 37.38, 37.356, 37.348, 37.304, 37.288, 37.272, 37.204, 37.156, 37.036, 37.02, 37.016, 36.968, 36.844, 36.768, 36.648, 36.628, 36.6, 36.512, 36.444, 36.436, 36.42, 36.324, 36.32, 36.188, 36.18, 36.172, 36.14, 36.112, 35.972, 35.928, 35.928, 35.888, 35.868, 35.864, 35.864, 35.832, 35.82, 35.796, 35.7, 35.632, 35.52, 35.448, 35.256, 35.248, 35.236, 35.036, 35.024, 34.908, 34.876, 34.868, 34.832, 34.82, 34.8, 34.784, 34.628, 34.62, 34.528, 34.524, 34.488, 34.472, 34.436, 34.428, 34.412, 34.316, 34.28, 34.22, 34.22, 34.188, 34.176, 34.112, 34.08, 34.012, 33.984, 33.948, 33.916, 33.888]",0,-17740,4892,638,,,548,0,4344,638,0,-17738,0,-16328,0,0,0,0,0,0,0,-1412,0,-17738,-17738,0,-16328,-16328,0,0,0,0,0,0,0,0,0,0,-1412,-1412,0.11537,0.20751,0.0,0.0,
4,Rural,0.0,0.0,0.25,transition,True,mpc,naive,0.3871569148051845,-47.404,"[47.404, 42.112, 41.98, 40.072, 39.288, 38.6, 38.376, 37.216, 37.204, 37.068, 36.776, 36.776, 36.176, 36.08, 35.792, 35.708, 35.58, 35.488, 35.388, 35.332, 35.132, 35.108, 34.928, 34.904, 34.884, 34.74, 34.692, 34.632, 34.536, 34.516, 34.344, 34.288, 34.248, 34.08, 33.956, 33.916, 33.912, 33.836, 33.584, 33.572, 33.572, 33.448, 33.412, 33.408, 33.328, 33.316, 33.272, 33.076, 33.02, 32.984, 32.968, 32.968, 32.96, 32.936, 32.928, 32.892, 32.876, 32.824, 32.816, 32.74, 32.688, 32.664, 32.664, 32.664, 32.628, 32.624, 32.596, 32.536, 32.524, 32.512, 32.428, 32.424, 32.344, 32.316, 32.296, 32.272, 32.192, 32.18, 32.16, 32.064, 32.048, 32.012, 32.004, 31.988, 31.956, 31.904, 31.9, 31.88, 31.868, 31.836, 31.82, 31.78, 31.76, 31.664, 31.648, 31.568, 31.524, 31.516, 31.516, 31.412, 31.408]",0,-16936,4679,586,,,516,0,4163,586,0,-16934,0,-15985,0,0,0,0,0,0,0,-951,0,-16934,-16934,0,-15985,-15985,0,0,0,0,0,0,0,0,0,0,-951,-951,0.1113,0.19847,0.0,0.0,
5,Rural,0.0,0.0,0.25,winter,True,mpc,naive,0.3879907555369085,-51.592,"[51.592, 50.4, 49.72, 49.204, 49.076, 48.324, 47.152, 46.96, 46.612, 46.368, 46.228, 45.712, 45.692, 45.544, 45.448, 45.416, 44.748, 44.604, 44.504, 44.444, 44.244, 44.092, 44.004, 43.976, 43.944, 43.932, 43.724, 43.704, 42.844, 42.82, 42.648, 42.628, 42.624, 42.564, 42.404, 42.392, 42.372, 42.332, 42.208, 42.136, 42.108, 42.084, 42.052, 41.868, 41.804, 41.776, 41.768, 41.752, 41.728, 41.676, 41.672, 41.408, 41.36, 41.244, 41.236, 41.192, 41.144, 41.056, 40.952, 40.82, 40.796, 40.676, 40.612, 40.596, 40.548, 40.544, 40.448, 40.432, 40.408, 40.356, 40.28, 40.176, 40.168, 39.904, 39.808, 39.76, 39.756, 39.72, 39.716, 39.652, 39.524, 39.34, 39.236, 39.172, 39.152, 39.1, 39.008, 38.984, 38.892, 38.884, 38.808, 38.7, 38.62, 38.604, 38.596, 38.584, 38.572, 38.568, 38.564, 38.532, 38.528]",0,-19861,5533,740,,,654,0,4879,740,0,-19859,0,-18764,0,0,0,0,0,0,0,-1097,0,-19859,-19859,0,-18764,-18764,0,0,0,0,0,0,0,0,0,0,-1097,-1097,0.11797,0.2347,0.0,0.0,
6,Rural,0.0,0.0,0.5,summer,True,mpc,naive,0.3845588259653416,-53.536,"[53.536, 45.968, 43.912, 43.484, 43.328, 43.284, 41.892, 41.824, 41.484, 41.26, 40.976, 40.672, 40.64, 40.18, 40.16, 40.06, 39.664, 39.648, 39.552, 39.316, 39.196, 38.968, 38.964, 38.94, 38.936, 38.924, 38.908, 38.876, 38.508, 38.468, 38.396, 38.36, 38.3, 38.248, 38.232, 38.192, 38.148, 38.036, 38.028, 37.92, 37.896, 37.888, 37.852, 37.784, 37.756, 37.572, 37.42, 37.404, 37.356, 37.324, 37.268, 37.232, 37.204, 37.112, 37.036, 37.028, 36.86, 36.844, 36.836, 36.792, 36.768, 36.764, 36.684, 36.684, 36.68, 36.656, 36.588, 36.42, 36.376, 36.304, 36.216, 36.048, 36.044, 36.036, 35.996, 35.948, 35.792, 35.776, 35.724, 35.616, 35.612, 35.576, 35.556, 35.52, 35.408, 35.392, 35.348, 35.3, 35.252, 35.212, 35.124, 35.112, 34.996, 34.98, 34.976, 34.964, 34.936, 34.932, 34.916, 34.912, 34.892]",0,-18678,4847,637,,,408,0,4439,637,0,-18677,0,-16328,0,0,0,0,0,0,0,-2350,0,-18677,-18677,0,-16328,-16328,0,0,0,0,0,0,0,0,0,0,-2350,-2350,0.11616,0.2056,0.0,0.0,
7,Rural,0.0,0.0,0.5,transition,True,mpc,naive,0.3840599625042959,-62.224,"[62.224, 50.54, 49.724, 49.676, 46.664, 42.676, 41.928, 40.976, 40.432, 39.804, 39.6, 39.516, 39.3, 39.184, 39.16, 38.72, 38.336, 38.22, 38.024, 37.716, 37.652, 37.3, 37.184, 37.052, 36.94, 36.924, 36.82, 36.804, 36.776, 36.604, 36.56, 36.464, 36.336, 36.208, 36.192, 36.104, 36.048, 36.02, 35.964, 35.908, 35.904, 35.844, 35.824, 35.756, 35.756, 35.656, 35.596, 35.412, 35.4, 35.4, 35.38, 35.356, 35.276, 35.188, 35.16, 35.156, 35.144, 35.14, 35.092, 35.052, 35.044, 34.988, 34.792, 34.768, 34.748, 34.708, 34.676, 34.672, 34.648, 34.592, 34.584, 34.488, 34.468, 34.46, 34.432, 34.408, 34.376, 34.372, 34.356, 34.34, 34.224, 34.18, 34.144, 34.14, 34.12, 34.1, 34.06, 33.924, 33.9, 33.892, 33.864, 33.86, 33.856, 33.836, 33.824, 33.812, 33.8, 33.752, 33.744, 33.636, 33.476]",0,-18578,4822,583,,,381,0,4441,583,0,-18576,0,-15985,0,0,0,0,0,0,0,-2593,0,-18576,-18576,0,-15985,-15985,0,0,0,0,0,0,0,0,0,0,-2593,-2593,0.10786,0.20454,0.0,0.0,
8,Rural,0.0,0.0,0.5,winter,True,mpc,naive,0.3855026647435908,-60.352,"[60.352, 55.94, 54.796, 52.252, 52.096, 51.592, 51.32, 50.884, 49.976, 49.304, 49.204, 49.176, 48.784, 48.324, 48.284, 48.18, 48.176, 47.772, 47.74, 47.248, 46.66, 46.656, 46.524, 46.412, 46.388, 46.368, 45.888, 45.74, 45.664, 45.448, 45.292, 44.504, 44.448, 44.204, 44.196, 44.136, 44.096, 44.092, 44.044, 44.008, 43.932, 43.668, 43.58, 43.456, 43.396, 43.368, 43.324, 43.228, 43.2, 43.024, 43.004, 42.996, 42.932, 42.832, 42.804, 42.792, 42.676, 42.604, 42.564, 42.556, 42.524, 42.508, 42.476, 42.428, 42.344, 42.34, 42.332, 42.332, 42.328, 42.172, 42.144, 42.084, 41.952, 41.952, 41.884, 41.876, 41.872, 41.868, 41.752, 41.708, 41.676, 41.6, 41.548, 41.332, 41.244, 41.204, 41.116, 40.996, 40.728, 40.724, 40.624, 40.604, 40.6, 40.584, 40.584, 40.544, 40.448, 40.404, 40.34, 40.32, 40.212]",0,-21224,5626,737,,,529,0,5097,737,0,-21222,0,-18764,0,0,0,0,0,0,0,-2460,0,-21222,-21222,0,-18764,-18764,0,0,0,0,0,0,0,0,0,0,-2460,-2460,0.11583,0.23864,0.0,0.0,
9,Rural,0.0,0.0,0.75,summer,True,mpc,naive,0.3832313922766307,-55.504,"[55.504, 55.144, 52.832, 50.752, 49.96, 48.54, 46.48, 43.98, 43.964, 43.828, 43.408, 43.296, 43.16, 43.064, 42.516, 42.32, 41.936, 41.916, 41.892, 41.756, 41.684, 41.576, 41.388, 41.296, 41.008, 41.004, 41.0, 40.856, 40.76, 40.752, 40.5, 40.468, 40.328, 40.268, 40.224, 40.18, 40.124, 40.088, 39.996, 39.772, 39.664, 39.664, 39.576, 39.428, 39.408, 39.404, 39.376, 39.36, 39.176, 39.172, 38.948, 38.944, 38.86, 38.852, 38.756, 38.744, 38.736, 38.56, 38.312, 38.276, 38.268, 38.268, 38.244, 38.192, 38.152, 38.104, 38.028, 38.02, 37.952, 37.932, 37.808, 37.64, 37.6, 37.584, 37.536, 37.456, 37.428, 37.416, 37.404, 37.268, 37.26, 37.24, 37.224, 37.204, 37.16, 37.152, 37.136, 37.132, 37.112, 37.104, 37.068, 37.024, 37.0, 36.988, 36.904, 36.852, 36.8, 36.7, 36.624, 36.596, 36.528]",0,-19788,5008,636,,,349,0,4659,636,0,-19787,0,-16328,0,0,0,0,0,0,0,-3460,0,-19787,-19787,0,-16328,-16328,0,0,0,0,0,0,0,0,0,0,-3460,-3460,0.11269,0.21243,0.0,0.0,
