,grid_topology,pv_penetration,hp_penetration,ev_penetration,lem_with_lem,average_energy_price_with_lem,avg_share_balancing_energy_with_lem,avg_normalized_market_energy_with_lem,avg_ratio_gen_dem_with_lem,avg_ratio_hp_hh_with_lem,avg_ratio_pv_hp_with_lem,peak_power_with_lem,season_with_lem,max_loads_with_lem,grid_topology_without_lem,lem_without_lem,average_energy_price_without_lem,avg_share_balancing_energy_without_lem,avg_normalized_market_energy_without_lem,avg_ratio_gen_dem_without_lem,avg_ratio_hp_hh_without_lem,avg_ratio_pv_hp_without_lem,peak_power_without_lem,season_without_lem,max_loads_without_lem,average_energy_price_ratio,peak_power_ratio,max_loads_ratio
0,Suburban,0.0,0.0,0.0,True,0.3912,0.1281,0.2206,0.0,0.0,0.0,-165.776,winter,128.2,Suburban,False,0.3767,0.0,0.1794,0.0,0.0,0.0,-165.776,winter,128.2,1.0384921688346165,1.0,1.0
1,Suburban,0.0,0.0,0.25,True,0.388,0.1266,0.2232,0.0,0.0,0.0,-168.836,winter,135.19,Suburban,False,0.3767,0.0,0.1899,0.0,0.0,0.0,-191.352,winter,144.01,1.0299973453676667,0.882332037292529,0.9387542531768628
2,Suburban,0.0,0.0,0.5,True,0.3855,0.1241,0.2278,0.0,0.0,0.0,-176.36,winter,144.4,Suburban,False,0.3767,0.0,0.2017,0.0,0.0,0.0,-259.756,winter,169.82,1.023360764534112,0.67894485594173,0.8503120951595808
3,Suburban,0.0,0.0,0.75,True,0.383,0.122,0.2317,0.0,0.0,0.0,-192.012,winter,152.57,Suburban,False,0.3767,0.0,0.2132,0.0,0.0,0.0,-273.036,winter,191.47,1.0167241837005576,0.7032479233507669,0.7968350133180132
4,Suburban,0.0,0.0,1.0,True,0.3807,0.1195,0.2365,0.0,0.0,0.0,-207.568,winter,162.52,Suburban,False,0.3767,0.0,0.2258,0.0,0.0,0.0,-317.632,winter,220.22,1.0106185293336873,0.6534857948821278,0.737989283443829
5,Suburban,0.0,0.25,0.0,True,0.386,0.1242,0.2781,0.0,0.3809,0.0,-313.5,winter,247.95,Suburban,False,0.3767,0.0,0.2495,0.0,0.3686,0.0,-287.376,winter,233.78,1.024688080700823,1.0909052948054119,1.0606125417058774
6,Suburban,0.0,0.25,0.25,True,0.3852,0.1262,0.2906,0.0,0.3828,0.0,-315.076,winter,256.5,Suburban,False,0.3767,0.0,0.2601,0.0,0.3686,0.0,-294.348,winter,240.22,1.0225643748340856,1.0704200470191747,1.0677712097244192
7,Suburban,0.0,0.25,0.5,True,0.3834,0.1242,0.2952,0.0,0.3828,0.0,-320.42,winter,261.79,Suburban,False,0.3767,0.0,0.2718,0.0,0.3686,0.0,-381.928,winter,249.99,1.0177860366339264,0.8389539389623175,1.0472018880755232
8,Suburban,0.0,0.25,0.75,True,0.3815,0.1225,0.2991,0.0,0.3828,0.0,-322.808,winter,267.61,Suburban,False,0.3767,0.0,0.2833,0.0,0.3686,0.0,-395.208,winter,259.81,1.0127422352004247,0.8168053278273718,1.0300219391093492
9,Suburban,0.0,0.25,1.0,True,0.3797,0.1204,0.3039,0.0,0.3828,0.0,-326.14,winter,274.62,Suburban,False,0.3767,0.0,0.296,0.0,0.3686,0.0,-423.008,winter,276.54,1.0079638970002656,0.7710019668658749,0.9930570622694728
10,Suburban,0.0,0.5,0.0,True,0.383,0.1239,0.3445,0.0,0.8092,0.0,-618.648,winter,417.37,Suburban,False,0.3767,0.0,0.329,0.0,0.7838,0.0,-488.976,winter,383.76,1.0167241837005576,1.2651909296161776,1.0875807796539505
11,Suburban,0.0,0.5,0.25,True,0.3825,0.125,0.357,0.0,0.8111,0.0,-620.224,winter,425.63,Suburban,False,0.3767,0.0,0.3395,0.0,0.7838,0.0,-488.976,winter,386.93,1.0153968675338467,1.2684139916887538,1.100018091127594
12,Suburban,0.0,0.5,0.5,True,0.3821,0.1263,0.3711,0.0,0.814,0.0,-620.224,winter,435.57,Suburban,False,0.3767,0.0,0.3513,0.0,0.7838,0.0,-533.372,winter,393.24,1.014335014600478,1.1628356944121554,1.1076441867561795
13,Suburban,0.0,0.5,0.75,True,0.3806,0.1249,0.375,0.0,0.814,0.0,-622.612,winter,441.18,Suburban,False,0.3767,0.0,0.3628,0.0,0.7838,0.0,-546.652,winter,397.74,1.010353066100345,1.138954947571764,1.109217076482124
14,Suburban,0.0,0.5,1.0,True,0.3791,0.123,0.3798,0.0,0.814,0.0,-625.944,winter,448.15,Suburban,False,0.3767,0.0,0.3754,0.0,0.7838,0.0,-574.452,winter,406.2,1.0063711176002124,1.0896367320507196,1.1032742491383554
15,Suburban,0.0,0.75,0.0,True,0.381,0.1254,0.4019,0.0,1.1909,0.0,-774.352,winter,568.93,Suburban,False,0.3767,0.0,0.3996,0.0,1.1544,0.0,-650.392,winter,504.17,1.0114149190337138,1.1905927502183298,1.128448737529008
16,Suburban,0.0,0.75,0.25,True,0.3806,0.1259,0.4144,0.0,1.1929,0.0,-775.928,winter,577.21,Suburban,False,0.3767,0.0,0.4101,0.0,1.1544,0.0,-650.392,winter,507.26,1.010353066100345,1.1930159042546649,1.1378977250325277
17,Suburban,0.0,0.75,0.5,True,0.3803,0.1267,0.4284,0.0,1.1957,0.0,-775.928,winter,586.7,Suburban,False,0.3767,0.0,0.4219,0.0,1.1544,0.0,-650.392,winter,511.56,1.0095566764003188,1.1930159042546649,1.146884040972711
18,Suburban,0.0,0.75,0.75,True,0.3801,0.1277,0.4429,0.0,1.1971,0.0,-775.928,winter,597.15,Suburban,False,0.3767,0.0,0.4334,0.0,1.1544,0.0,-650.392,winter,514.64,1.0090257499336341,1.1930159042546649,1.1603256645422042
19,Suburban,0.0,0.75,1.0,True,0.3788,0.126,0.4476,0.0,1.1971,0.0,-779.26,winter,603.96,Suburban,False,0.3767,0.0,0.446,0.0,1.1544,0.0,-677.84,winter,520.48,1.0055747279001859,1.1496223297533341,1.160390408853366
20,Suburban,0.0,1.0,0.0,True,0.3793,0.1271,0.4606,0.0,1.5822,0.0,-1090.74,winter,753.23,Suburban,False,0.3767,0.0,0.4717,0.0,1.5335,0.0,-871.544,winter,678.12,1.0069020440668968,1.2515030795920803,1.1107621070017106
21,Suburban,0.0,1.0,0.25,True,0.3791,0.1273,0.4731,0.0,1.5841,0.0,-1092.316,winter,760.97,Suburban,False,0.3767,0.0,0.4822,0.0,1.5335,0.0,-871.544,winter,680.08,1.0063711176002124,1.253311364658583,1.118941889189507
22,Suburban,0.0,1.0,0.5,True,0.3789,0.1276,0.4872,0.0,1.587,0.0,-1092.316,winter,769.77,Suburban,False,0.3767,0.0,0.494,0.0,1.5335,0.0,-871.544,winter,683.23,1.0058401911335282,1.253311364658583,1.126663056364621
23,Suburban,0.0,1.0,0.75,True,0.3787,0.1282,0.5016,0.0,1.5884,0.0,-1092.316,winter,779.26,Suburban,False,0.3767,0.0,0.5055,0.0,1.5335,0.0,-871.544,winter,685.23,1.0053092646668436,1.253311364658583,1.1372239977817666
24,Suburban,0.0,1.0,1.0,True,0.3785,0.1276,0.5183,0.0,1.593,0.0,-1094.22,winter,792.69,Suburban,False,0.3767,0.0,0.5181,0.0,1.5335,0.0,-871.544,winter,688.2,1.0047783382001594,1.2554959933176064,1.1518308631211858
25,Suburban,0.25,0.0,0.0,True,0.3227,0.2435,0.2129,0.4652,0.0,inf,201.12,summer,125.14,Suburban,False,0.3234,0.0,0.1917,0.4618,0.0,inf,-159.496,winter,119.56,0.9978354978354977,1.260972061995285,1.0466711274673803
