,grid_topology,pv_penetration,hp_penetration,ev_penetration,season,lem,controller,fcast,average_energy_price,peak_power,max_loads,energy_in,energy_out,energy_market,energy_balancing,costs_market,costs_balancing,energy_market_in,energy_balancing_in,energy_market_out,energy_balancing_out,main_in,main_out,hh_in,hh_out,pv_in,pv_out,bat_in,bat_out,hp_in,hp_out,ev_in,ev_out,energy_main_pos,energy_main_neg,energy_main_net,energy_hh_pos,energy_hh_neg,energy_hh_net,energy_pv_pos,energy_pv_neg,energy_pv_net,energy_bat_pos,energy_bat_neg,energy_bat_net,energy_hp_pos,energy_hp_neg,energy_hp_net,energy_ev_pos,energy_ev_neg,energy_ev_net,share_balancing_energy,normalized_market_energy,ratio_gen_dem,ratio_hp_hh,ratio_pv_hp
0,Suburban,0.0,0.0,0.0,summer,True,mpc,naive,0.3919243253398006,-119.9,"[119.9, 118.736, 116.912, 115.948, 115.688, 115.416, 115.284, 115.04, 114.644, 114.144, 113.836, 111.612, 110.768, 110.336, 110.084, 109.128, 109.04, 107.056, 106.548, 106.036, 105.88, 105.256, 104.7, 104.68, 104.584, 103.852, 102.896, 102.796, 102.664, 102.332, 102.244, 102.004, 101.76, 101.736, 101.612, 101.496, 101.312, 100.96, 100.648, 100.476, 100.396, 100.212, 100.2, 100.088, 99.844, 99.716, 99.652, 99.596, 99.464, 99.416, 99.02, 99.0, 98.984, 98.704, 98.56, 97.964, 97.92, 97.736, 97.716, 97.392, 97.036, 96.904, 96.872, 96.824, 96.532, 96.388, 96.264, 96.1, 95.936, 95.792, 95.748, 95.744, 95.712, 95.612, 95.564, 95.428, 95.42, 95.376, 95.356, 95.176, 95.092, 95.036, 95.028, 95.016, 94.808, 94.708, 94.304, 94.06, 93.936, 93.932, 93.912, 93.812, 93.6, 93.568, 93.556, 93.416, 93.136, 93.104, 93.084, 92.992, 92.884]",0,-48288,14247,2182,,,2179,0,12068,2182,0,-48288,0,-48288,0,0,0,0,0,0,0,0,0,-48288,-48288,0,-48288,-48288,0,0,0,0,0,0,0,0,0,0,0,0,0.13281,0.21358,0.0,0.0,
1,Suburban,0.0,0.0,0.0,transition,True,mpc,naive,0.3909672148852667,-120.152,"[120.152, 114.204, 113.68, 113.496, 113.036, 109.312, 107.628, 106.032, 105.568, 105.552, 105.48, 105.332, 104.46, 104.06, 103.672, 103.552, 102.96, 102.588, 102.288, 102.152, 102.052, 101.904, 101.828, 101.712, 101.568, 101.348, 101.28, 101.024, 100.94, 100.848, 100.336, 100.236, 99.844, 99.828, 99.764, 99.556, 99.54, 99.28, 99.276, 99.044, 98.824, 98.784, 98.752, 98.688, 98.672, 98.368, 98.276, 98.248, 98.092, 98.008, 97.964, 97.496, 97.132, 97.044, 96.912, 96.8, 96.776, 96.676, 96.476, 96.428, 96.252, 96.1, 95.872, 95.856, 95.788, 95.776, 95.684, 95.6, 95.404, 95.308, 95.052, 95.036, 95.016, 94.78, 94.632, 94.624, 94.548, 94.432, 94.26, 94.1, 93.984, 93.968, 93.94, 93.928, 93.92, 93.804, 93.552, 93.528, 93.492, 93.404, 93.348, 93.336, 93.16, 92.972, 92.936, 92.852, 92.752, 92.744, 92.652, 92.588, 92.588]",0,-47716,13944,2020,,,2018,0,11926,2020,0,-47716,0,-47716,0,0,0,0,0,0,0,0,0,-47716,-47716,0,-47716,-47716,0,0,0,0,0,0,0,0,0,0,0,0,0.12653,0.20904,0.0,0.0,
2,Suburban,0.0,0.0,0.0,winter,True,mpc,naive,0.3909955806475478,-165.776,"[165.776, 161.7, 159.496, 158.384, 156.464, 155.512, 153.732, 150.908, 150.76, 149.82, 148.012, 147.88, 147.676, 147.224, 144.56, 144.416, 144.216, 143.296, 141.604, 141.232, 140.032, 137.6, 136.556, 136.28, 136.012, 135.744, 135.344, 135.204, 134.636, 134.544, 133.08, 131.38, 130.612, 130.26, 129.864, 129.184, 127.596, 127.0, 126.956, 126.344, 125.604, 125.476, 125.272, 125.172, 125.112, 124.608, 124.508, 124.172, 124.132, 123.768, 123.632, 123.456, 123.332, 123.284, 123.136, 123.044, 122.944, 122.696, 122.624, 122.072, 121.86, 120.208, 119.884, 119.524, 119.476, 119.148, 118.904, 118.816, 118.44, 118.376, 118.056, 118.032, 117.78, 117.568, 117.2, 116.512, 116.372, 116.252, 115.8, 115.66, 115.656, 115.512, 115.452, 115.384, 115.232, 115.18, 115.104, 114.748, 114.6, 114.464, 113.624, 113.444, 113.248, 113.168, 113.052, 113.004, 112.972, 112.788, 112.536, 111.556, 111.52]",0,-57209,16725,2426,,,2425,0,14300,2426,0,-57209,0,-57209,0,0,0,0,0,0,0,0,0,-57209,-57209,0,-57209,-57209,0,0,0,0,0,0,0,0,0,0,0,0,0.12668,0.25073,0.0,0.0,
3,Suburban,0.0,0.0,0.25,summer,True,mpc,naive,0.388518936961688,-134.528,"[134.528, 124.472, 122.624, 122.444, 122.38, 121.748, 120.952, 120.8, 119.836, 119.312, 118.912, 117.972, 117.536, 116.404, 115.516, 114.344, 113.944, 113.4, 113.388, 112.584, 112.368, 112.124, 112.096, 111.16, 110.288, 110.036, 109.852, 108.996, 108.804, 108.6, 108.344, 108.184, 108.068, 107.908, 107.692, 107.648, 107.58, 107.216, 107.152, 107.108, 106.676, 106.256, 106.248, 105.964, 105.664, 105.396, 105.32, 105.232, 105.08, 104.66, 104.648, 104.156, 104.088, 104.016, 103.74, 103.536, 103.268, 103.156, 103.04, 101.936, 101.704, 101.604, 101.512, 101.492, 101.388, 101.344, 101.2, 101.028, 100.884, 100.848, 100.724, 100.708, 100.524, 100.216, 100.14, 100.016, 99.996, 99.968, 99.94, 99.856, 99.704, 99.66, 99.6, 99.484, 99.396, 99.284, 99.176, 99.14, 99.028, 99.004, 98.944, 98.788, 98.744, 98.628, 98.596, 98.584, 98.548, 98.32, 98.144, 98.084, 97.868]",0,-52121,14412,2176,,,1779,0,12633,2176,0,-52121,0,-48288,0,0,0,0,0,0,0,-3833,0,-52121,-52121,0,-48288,-48288,0,0,0,0,0,0,0,0,0,0,-3833,-3833,0.13118,0.21605,0.0,0.0,
4,Suburban,0.0,0.0,0.25,transition,True,mpc,naive,0.3878027364725105,-135.82,"[135.82, 132.628, 125.436, 124.264, 122.136, 121.676, 121.088, 115.292, 115.088, 114.788, 114.124, 112.228, 111.308, 111.104, 110.84, 110.512, 110.492, 110.24, 109.188, 108.684, 108.228, 108.092, 108.06, 107.448, 107.216, 107.188, 106.92, 106.788, 106.628, 106.504, 106.08, 106.04, 105.988, 105.58, 105.384, 105.32, 105.284, 105.264, 105.148, 105.052, 104.768, 104.56, 104.404, 104.396, 104.236, 104.18, 103.46, 103.352, 103.324, 103.236, 103.22, 102.924, 102.896, 102.768, 102.412, 102.4, 102.304, 102.288, 102.244, 102.24, 101.852, 101.656, 101.436, 101.304, 101.3, 101.072, 101.044, 100.984, 100.868, 100.824, 100.812, 100.788, 100.704, 100.676, 100.588, 100.532, 100.328, 100.296, 100.0, 99.96, 99.928, 99.832, 99.556, 99.396, 99.2, 99.08, 99.076, 99.06, 98.98, 98.872, 98.852, 98.704, 98.588, 98.58, 98.416, 98.324, 98.024, 97.912, 97.812, 97.804, 97.536]",0,-51265,14087,2015,,,1643,0,12444,2015,0,-51265,0,-47716,0,0,0,0,0,0,0,-3549,0,-51265,-51265,0,-47716,-47716,0,0,0,0,0,0,0,0,0,0,-3549,-3549,0.12514,0.21118,0.0,0.0,
5,Suburban,0.0,0.0,0.25,winter,True,mpc,naive,0.3880684114515096,-168.836,"[168.836, 167.228, 163.996, 162.404, 162.144, 161.988, 158.144, 157.884, 155.18, 154.364, 154.012, 153.812, 153.28, 153.028, 150.864, 150.432, 149.352, 149.216, 147.88, 146.016, 144.944, 144.752, 144.308, 143.848, 143.264, 143.216, 143.12, 140.156, 139.168, 138.788, 138.58, 137.936, 137.692, 137.316, 137.128, 134.06, 133.316, 132.96, 132.92, 132.832, 132.412, 131.996, 131.956, 131.888, 131.724, 131.196, 130.932, 130.852, 130.432, 130.412, 130.38, 130.3, 129.928, 129.54, 129.472, 129.296, 129.176, 129.128, 128.796, 128.736, 128.624, 128.264, 127.388, 126.684, 126.652, 126.336, 126.092, 126.004, 125.98, 125.744, 124.956, 124.776, 124.576, 124.42, 124.024, 123.636, 123.268, 123.064, 122.784, 122.436, 122.372, 122.188, 122.172, 122.06, 121.788, 121.508, 121.46, 120.94, 120.9, 120.8, 120.748, 120.392, 120.18, 119.208, 119.156, 118.6, 118.492, 118.448, 118.376, 118.104, 118.012]",0,-61416,16979,2421,,,2023,0,14956,2421,0,-61416,0,-57209,0,0,0,0,0,0,0,-4207,0,-61416,-61416,0,-57209,-57209,0,0,0,0,0,0,0,0,0,0,-4207,-4207,0.12479,0.25453,0.0,0.0,
6,Suburban,0.0,0.0,0.5,summer,True,mpc,naive,0.3855904833807892,-151.712,"[151.712, 149.376, 146.576, 134.604, 132.84, 132.5, 130.064, 129.46, 127.628, 127.528, 127.268, 127.14, 126.628, 125.924, 124.656, 124.188, 123.58, 123.536, 123.528, 122.96, 122.772, 122.328, 121.908, 121.848, 121.644, 120.808, 120.612, 120.428, 120.352, 119.132, 118.728, 118.576, 118.348, 116.656, 116.52, 115.992, 115.212, 115.176, 114.952, 114.936, 114.548, 114.52, 114.508, 113.952, 113.924, 113.856, 113.792, 112.632, 112.464, 112.412, 111.968, 110.744, 110.74, 110.592, 110.28, 110.128, 110.032, 110.032, 109.896, 109.704, 109.484, 109.376, 109.356, 108.96, 108.596, 108.48, 108.472, 108.36, 108.168, 108.14, 108.024, 107.66, 107.444, 107.36, 107.192, 107.18, 107.08, 106.876, 106.592, 106.496, 106.376, 106.336, 106.212, 106.056, 105.936, 105.724, 105.572, 105.26, 105.196, 105.048, 105.04, 105.012, 104.76, 104.708, 104.612, 104.568, 104.46, 104.32, 104.308, 104.188, 103.92]",0,-56648,14795,2170,,,1402,0,13393,2170,0,-56648,0,-48288,0,0,0,0,0,0,0,-8360,0,-56648,-56648,0,-48288,-48288,0,0,0,0,0,0,0,0,0,0,-8360,-8360,0.12791,0.22179,0.0,0.0,
7,Suburban,0.0,0.0,0.5,transition,True,mpc,naive,0.3854082734378786,-154.736,"[154.736, 141.336, 141.128, 139.368, 132.752, 131.8, 131.256, 128.164, 127.072, 124.856, 121.284, 120.636, 120.284, 118.74, 118.06, 117.028, 116.464, 116.424, 116.108, 115.976, 115.66, 115.188, 114.952, 114.664, 114.404, 114.328, 114.056, 113.924, 113.376, 113.104, 112.82, 112.596, 112.52, 112.512, 112.328, 111.936, 111.64, 111.532, 111.156, 111.056, 111.044, 110.956, 110.476, 110.456, 110.256, 109.588, 108.896, 108.888, 108.808, 108.696, 108.68, 108.504, 107.86, 107.772, 107.736, 107.712, 107.264, 107.172, 107.164, 107.164, 107.148, 107.04, 107.008, 106.996, 106.864, 106.82, 106.66, 106.624, 106.592, 106.352, 106.252, 106.252, 106.112, 106.072, 105.636, 105.608, 105.552, 105.316, 105.264, 105.228, 105.06, 105.056, 105.012, 104.892, 104.788, 104.756, 104.64, 104.528, 104.424, 104.284, 104.112, 104.104, 104.04, 103.652, 103.576, 103.292, 103.24, 103.144, 103.068, 102.996, 102.972]",0,-54661,14314,2011,,,1330,0,12984,2011,0,-54661,0,-47716,0,0,0,0,0,0,0,-6945,0,-54661,-54661,0,-47716,-47716,0,0,0,0,0,0,0,0,0,0,-6945,-6945,0.12319,0.21458,0.0,0.0,
8,Suburban,0.0,0.0,0.5,winter,True,mpc,naive,0.3855720894878973,-176.36,"[176.36, 174.532, 173.988, 170.676, 170.564, 170.016, 167.704, 167.26, 163.596, 162.096, 161.796, 161.336, 161.152, 160.552, 160.208, 159.812, 158.06, 156.964, 156.468, 155.72, 155.548, 153.98, 153.14, 153.132, 151.728, 151.084, 150.004, 149.444, 148.9, 147.46, 147.3, 144.724, 144.516, 144.08, 143.556, 143.124, 143.092, 142.868, 142.484, 142.044, 141.54, 141.436, 141.364, 140.556, 140.276, 139.872, 139.368, 139.012, 138.696, 137.484, 137.18, 137.032, 136.716, 136.568, 136.436, 135.588, 135.572, 135.524, 135.332, 135.108, 135.104, 134.908, 134.768, 134.552, 134.44, 134.3, 134.076, 133.892, 133.764, 133.72, 133.156, 133.02, 132.476, 132.408, 132.072, 131.272, 130.928, 130.7, 130.652, 129.812, 129.328, 129.004, 128.972, 128.912, 128.76, 128.456, 128.092, 127.924, 127.308, 126.904, 126.68, 126.532, 126.164, 125.988, 125.964, 125.708, 125.664, 125.648, 125.58, 125.316, 125.292]",0,-65949,17358,2415,,,1643,0,15715,2415,0,-65949,0,-57209,0,0,0,0,0,0,0,-8740,0,-65949,-65949,0,-57209,-57209,0,0,0,0,0,0,0,0,0,0,-8740,-8740,0.12214,0.26022,0.0,0.0,
9,Suburban,0.0,0.0,0.75,summer,True,mpc,naive,0.3830875166884344,-167.444,"[167.444, 156.7, 152.64, 151.448, 140.112, 139.244, 138.932, 137.496, 134.612, 133.612, 132.036, 131.536, 131.048, 130.876, 130.64, 130.496, 130.408, 130.184, 130.116, 128.932, 128.736, 128.508, 128.016, 127.536, 127.332, 127.316, 127.168, 126.704, 126.284, 126.264, 125.152, 124.052, 123.528, 123.004, 121.928, 121.696, 121.556, 121.372, 121.176, 120.384, 119.904, 119.716, 119.676, 119.568, 119.412, 119.3, 119.256, 119.016, 118.552, 118.476, 117.824, 117.796, 116.9, 116.836, 116.56, 116.312, 115.832, 115.608, 115.54, 115.196, 115.12, 114.924, 114.884, 114.744, 114.524, 114.516, 114.168, 114.112, 114.036, 113.884, 113.816, 113.812, 113.776, 113.772, 113.66, 113.632, 113.592, 113.528, 113.412, 113.148, 112.9, 112.716, 112.712, 112.148, 112.12, 112.02, 112.012, 112.012, 111.624, 111.252, 110.816, 110.792, 110.772, 110.728, 110.652, 110.608, 110.428, 110.128, 110.1, 109.892, 109.776]",0,-60381,14942,2165,,,1006,0,13936,2165,0,-60381,0,-48288,0,0,0,0,0,0,0,-12093,0,-60381,-60381,0,-48288,-48288,0,0,0,0,0,0,0,0,0,0,-12093,-12093,0.12656,0.224,0.0,0.0,
