,grid_topology,pv_penetration,hp_penetration,ev_penetration,lem_with_lem,average_energy_price_with_lem,avg_share_balancing_energy_with_lem,avg_normalized_market_energy_with_lem,avg_ratio_gen_dem_with_lem,avg_ratio_hp_hh_with_lem,avg_ratio_pv_hp_with_lem,peak_power_with_lem,season_with_lem,max_loads_with_lem,grid_topology_without_lem,lem_without_lem,average_energy_price_without_lem,avg_share_balancing_energy_without_lem,avg_normalized_market_energy_without_lem,avg_ratio_gen_dem_without_lem,avg_ratio_hp_hh_without_lem,avg_ratio_pv_hp_without_lem,peak_power_without_lem,season_without_lem,max_loads_without_lem,average_energy_price_ratio,peak_power_ratio,max_loads_ratio
0,Urban,0.0,0.0,0.0,True,0.3851,0.0827,0.3398,0.0,0.0,0.0,-317.296,winter,279.34,Urban,False,0.3767,0.0,0.313,0.0,0.0,0.0,-317.296,winter,279.34,1.0222989116007433,1.0,1.0
1,Urban,0.0,0.0,0.25,True,0.3836,0.0818,0.3427,0.0,0.0,0.0,-325.032,winter,285.74,Urban,False,0.3767,0.0,0.3226,0.0,0.0,0.0,-347.552,winter,294.1,1.0183169631006106,0.9352039407052757,0.9715742944576674
2,Urban,0.0,0.0,0.5,True,0.3822,0.0808,0.3462,0.0,0.0,0.0,-343.22,winter,294.75,Urban,False,0.3767,0.0,0.3332,0.0,0.0,0.0,-391.204,winter,317.21,1.01460047783382,0.8773427674563655,0.9291951703918541
3,Urban,0.0,0.0,0.75,True,0.3809,0.0801,0.3487,0.0,0.0,0.0,-346.692,winter,303.36,Urban,False,0.3767,0.0,0.3425,0.0,0.0,0.0,-440.884,winter,341.53,1.0111494558003717,0.7863565019370174,0.8882382221181157
4,Urban,0.0,0.0,1.0,True,0.3797,0.0791,0.3523,0.0,0.0,0.0,-359.772,winter,312.46,Urban,False,0.3767,0.0,0.3531,0.0,0.0,0.0,-482.564,winter,371.36,1.0079638970002656,0.7455425601578236,0.8413937957776819
5,Urban,0.0,0.25,0.0,True,0.3836,0.0881,0.3968,0.0,0.2132,0.0,-602.588,winter,423.56,Urban,False,0.3767,0.0,0.3778,0.0,0.2037,0.0,-470.684,winter,406.67,1.0183169631006106,1.2802389713693263,1.0415324464553568
6,Urban,0.0,0.25,0.25,True,0.3831,0.0913,0.4056,0.0,0.2137,0.0,-608.884,winter,432.57,Urban,False,0.3767,0.0,0.3875,0.0,0.2037,0.0,-470.684,winter,414.3,1.0169896469338997,1.293615249296768,1.0440984793627806
7,Urban,0.0,0.25,0.5,True,0.3819,0.0903,0.4091,0.0,0.2137,0.0,-614.936,winter,440.68,Urban,False,0.3767,0.0,0.3981,0.0,0.2037,0.0,-489.316,winter,423.32,1.0138040881337935,1.256725715079826,1.0410091656430125
8,Urban,0.0,0.25,0.75,True,0.3808,0.0897,0.4115,0.0,0.2137,0.0,-621.2,winter,447.17,Urban,False,0.3767,0.0,0.4073,0.0,0.2037,0.0,-538.996,winter,434.02,1.0108839925670297,1.1525131911925137,1.0302981429427216
9,Urban,0.0,0.25,1.0,True,0.3798,0.0887,0.4151,0.0,0.2137,0.0,-627.004,winter,454.22,Urban,False,0.3767,0.0,0.418,0.0,0.2037,0.0,-580.676,winter,449.71,1.0082293602336079,1.0797828737540383,1.010028685152654
