,grid_topology,pv_penetration,hp_penetration,ev_penetration,season,lem,controller,fcast,average_energy_price,peak_power,max_loads,energy_in,energy_out,energy_market,energy_balancing,costs_market,costs_balancing,energy_market_in,energy_balancing_in,energy_market_out,energy_balancing_out,main_in,main_out,hh_in,hh_out,pv_in,pv_out,bat_in,bat_out,hp_in,hp_out,ev_in,ev_out,energy_main_pos,energy_main_neg,energy_main_net,energy_hh_pos,energy_hh_neg,energy_hh_net,energy_pv_pos,energy_pv_neg,energy_pv_net,energy_bat_pos,energy_bat_neg,energy_bat_net,energy_hp_pos,energy_hp_neg,energy_hp_net,energy_ev_pos,energy_ev_neg,energy_ev_net,share_balancing_energy,normalized_market_energy,ratio_gen_dem,ratio_hp_hh,ratio_pv_hp
0,Urban,0.0,0.0,0.0,summer,True,mpc,naive,0.3852903463834324,-296.288,"[296.288, 289.896, 288.632, 288.228, 286.932, 286.156, 285.308, 285.164, 285.072, 284.528, 282.4, 282.1, 280.116, 279.256, 278.508, 278.4, 278.312, 278.104, 276.54, 273.964, 272.764, 272.672, 272.644, 272.608, 271.708, 271.284, 271.208, 270.616, 270.248, 269.304, 268.928, 268.92, 268.812, 268.676, 268.256, 268.112, 267.664, 267.412, 267.24, 267.1, 267.052, 266.708, 266.668, 266.268, 266.256, 265.496, 265.02, 264.492, 263.988, 262.304, 262.056, 261.48, 261.056, 260.376, 260.324, 259.552, 259.4, 259.4, 258.772, 258.764, 258.44, 257.816, 257.652, 257.184, 257.18, 257.06, 256.88, 256.644, 256.292, 256.032, 255.74, 255.276, 254.856, 254.676, 254.668, 254.628, 254.224, 253.548, 253.252, 252.568, 252.432, 252.272, 252.256, 252.232, 251.664, 251.616, 251.448, 251.312, 249.64, 249.52, 249.508, 248.584, 248.1, 247.144, 247.028, 246.796, 246.788, 246.784, 246.532, 246.46, 245.676]",0,-124822,34382,3178,,,3179,0,31203,3178,0,-124808,0,-124822,0,0,0,0,0,0,0,0,0,-124808,-124808,0,-124822,-124822,0,0,0,0,0,0,0,0,0,0,0,0,0.08461,0.35441,0.0,0.0,
1,Urban,0.0,0.0,0.0,transition,True,mpc,naive,0.3848278357204618,-275.076,"[275.076, 265.28, 261.124, 260.768, 259.876, 259.288, 250.848, 248.116, 247.472, 247.228, 245.3, 244.1, 243.964, 243.952, 242.604, 241.576, 241.064, 240.248, 240.22, 239.984, 239.92, 238.544, 238.08, 237.784, 237.304, 237.256, 236.612, 235.804, 235.56, 235.412, 235.368, 234.82, 234.032, 233.864, 233.668, 233.324, 233.144, 232.96, 232.692, 232.616, 232.164, 231.996, 231.108, 230.304, 230.128, 230.124, 229.972, 229.896, 229.868, 229.848, 229.348, 229.32, 229.28, 228.892, 228.592, 228.288, 227.592, 227.468, 227.196, 227.176, 227.016, 226.984, 226.708, 226.688, 226.58, 226.548, 226.508, 226.472, 226.204, 226.184, 226.02, 225.88, 225.82, 225.72, 225.604, 225.572, 225.372, 224.632, 224.568, 224.52, 224.256, 224.148, 223.9, 223.792, 223.268, 222.768, 222.476, 222.34, 222.164, 222.084, 221.704, 221.476, 221.34, 221.156, 221.124, 220.96, 220.888, 220.728, 220.556, 220.396, 220.004]",0,-115341,31612,2778,,,2780,0,28832,2778,0,-115327,0,-115341,0,0,0,0,0,0,0,0,0,-115327,-115327,0,-115341,-115341,0,0,0,0,0,0,0,0,0,0,0,0,0.08078,0.32586,0.0,0.0,
2,Urban,0.0,0.0,0.0,winter,True,mpc,naive,0.385273865279692,-317.296,"[317.296, 315.9, 313.228, 310.376, 308.26, 307.664, 303.64, 302.08, 299.932, 299.8, 297.992, 297.824, 296.344, 295.136, 295.08, 294.972, 294.944, 294.556, 294.212, 288.952, 288.352, 288.204, 285.436, 285.192, 282.868, 281.816, 281.444, 280.852, 280.748, 279.452, 277.96, 276.98, 275.392, 273.612, 269.224, 269.204, 267.296, 267.168, 267.048, 266.612, 265.42, 265.296, 264.256, 263.972, 263.104, 260.888, 260.848, 260.7, 260.548, 260.372, 260.076, 259.664, 259.552, 259.248, 258.992, 258.94, 258.68, 258.656, 258.532, 257.968, 257.92, 256.66, 256.536, 256.26, 255.72, 255.508, 254.844, 254.6, 254.232, 253.776, 253.572, 253.108, 253.032, 252.792, 252.736, 252.532, 252.164, 251.972, 251.84, 251.028, 250.952, 250.864, 250.736, 250.428, 250.424, 250.0, 249.764, 249.556, 248.516, 248.124, 247.964, 247.528, 247.364, 247.236, 246.968, 245.736, 245.532, 245.412, 245.34, 245.06, 244.8]",0,-124433,34268,3162,,,3163,0,31105,3162,0,-124418,0,-124433,0,0,0,0,0,0,0,0,0,-124418,-124418,0,-124433,-124433,0,0,0,0,0,0,0,0,0,0,0,0,0.08448,0.35323,0.0,0.0,
3,Urban,0.0,0.0,0.25,summer,True,mpc,naive,0.383669940927623,-302.76,"[302.76, 294.684, 293.788, 293.524, 293.008, 290.416, 290.024, 289.872, 289.7, 289.096, 288.176, 287.604, 287.416, 285.572, 284.58, 283.768, 283.428, 283.004, 282.868, 282.624, 282.048, 281.388, 279.352, 279.128, 278.6, 276.332, 275.752, 275.724, 275.376, 275.336, 274.94, 274.816, 274.764, 274.728, 274.64, 274.552, 273.428, 273.084, 272.1, 271.48, 271.416, 271.276, 270.844, 270.768, 270.724, 270.312, 269.908, 269.792, 269.488, 269.34, 269.296, 268.904, 268.884, 268.272, 268.148, 267.952, 266.532, 266.176, 265.592, 265.0, 264.56, 264.3, 263.52, 263.176, 262.716, 262.464, 262.46, 262.164, 262.004, 261.988, 261.856, 261.48, 261.108, 260.812, 260.452, 260.156, 259.992, 259.94, 259.752, 259.22, 259.184, 258.588, 258.528, 257.868, 256.992, 256.768, 256.56, 256.012, 255.548, 255.484, 255.42, 255.164, 254.96, 254.92, 254.688, 254.156, 253.756, 252.36, 252.32, 251.644, 251.612]",0,-130315,34666,3168,,,2629,0,32037,3168,0,-130302,0,-124822,0,0,0,0,0,0,0,-5493,0,-130302,-130302,0,-124822,-124822,0,0,0,0,0,0,0,0,0,0,-5493,-5493,0.08373,0.35734,0.0,0.0,
4,Urban,0.0,0.0,0.25,transition,True,mpc,naive,0.3835100240329124,-290.384,"[290.384, 275.18, 271.924, 271.856, 269.148, 268.62, 266.728, 265.204, 262.74, 257.592, 257.36, 253.028, 252.284, 250.42, 250.092, 248.532, 248.008, 247.356, 245.692, 245.076, 245.068, 245.052, 243.18, 242.328, 242.12, 242.084, 242.036, 241.636, 241.536, 241.204, 240.876, 240.012, 239.804, 238.608, 238.404, 237.972, 237.696, 236.948, 236.836, 236.592, 236.356, 236.128, 235.94, 235.592, 235.532, 235.28, 235.12, 234.868, 234.736, 234.692, 234.628, 234.544, 234.536, 234.5, 234.488, 234.484, 234.352, 233.756, 233.712, 233.112, 232.932, 232.872, 232.764, 232.74, 232.604, 232.372, 231.404, 231.36, 231.276, 231.184, 230.888, 230.728, 230.464, 230.432, 230.364, 230.168, 229.94, 229.816, 229.732, 229.692, 229.412, 229.004, 228.992, 228.676, 228.376, 228.344, 228.184, 228.04, 227.984, 227.836, 227.752, 227.708, 227.652, 226.888, 226.868, 226.68, 226.552, 226.28, 226.276, 226.176, 226.064]",0,-119677,31883,2770,,,2369,0,29514,2770,0,-119664,0,-115341,0,0,0,0,0,0,0,-4336,0,-119664,-119664,0,-115341,-115341,0,0,0,0,0,0,0,0,0,0,-4336,-4336,0.07994,0.32865,0.0,0.0,
5,Urban,0.0,0.0,0.25,winter,True,mpc,naive,0.3838944378648032,-325.032,"[325.032, 321.716, 317.636, 316.708, 314.924, 312.768, 309.16, 308.952, 307.744, 307.42, 304.828, 304.248, 303.384, 302.948, 301.628, 300.148, 299.948, 299.932, 299.264, 299.112, 295.768, 293.896, 293.668, 291.936, 291.06, 290.484, 290.104, 288.836, 287.836, 283.208, 281.624, 281.204, 280.872, 280.076, 275.256, 275.16, 274.54, 274.052, 274.0, 272.844, 270.676, 269.984, 269.516, 269.44, 269.048, 268.884, 268.184, 267.24, 266.58, 266.116, 265.824, 265.756, 265.052, 264.676, 264.632, 264.336, 263.84, 263.284, 262.948, 262.62, 262.464, 262.344, 262.064, 261.96, 261.76, 261.724, 261.636, 261.616, 261.6, 261.368, 261.148, 261.128, 260.604, 260.268, 259.68, 259.176, 258.92, 258.796, 258.408, 258.1, 257.928, 257.808, 257.268, 257.216, 257.012, 256.58, 256.56, 256.432, 256.328, 256.172, 255.904, 255.78, 255.24, 254.88, 254.032, 254.016, 253.696, 253.684, 252.328, 252.204, 252.192]",0,-129268,34566,3155,,,2704,0,31862,3155,0,-129254,0,-124433,0,0,0,0,0,0,0,-4835,0,-129254,-129254,0,-124433,-124433,0,0,0,0,0,0,0,0,0,0,-4835,-4835,0.08364,0.35631,0.0,0.0,
6,Urban,0.0,0.0,0.5,summer,True,mpc,naive,0.3822981495354904,-309.728,"[309.728, 308.464, 306.132, 305.228, 300.58, 298.248, 296.568, 296.184, 293.768, 293.62, 293.424, 292.016, 291.884, 291.512, 290.808, 290.396, 290.256, 289.688, 289.036, 287.164, 286.972, 286.796, 286.124, 285.3, 285.28, 284.692, 282.252, 281.12, 280.348, 280.22, 279.936, 279.816, 279.496, 279.256, 279.2, 278.896, 278.892, 278.296, 277.992, 277.884, 277.768, 277.688, 276.996, 276.892, 276.06, 275.688, 275.624, 275.484, 275.38, 274.848, 274.608, 274.232, 274.024, 273.616, 273.376, 273.372, 273.28, 273.128, 273.092, 272.168, 272.152, 270.188, 269.16, 268.396, 267.816, 267.78, 267.616, 267.196, 266.956, 266.948, 266.864, 266.76, 266.052, 265.756, 264.804, 264.76, 264.508, 264.416, 264.056, 264.036, 263.796, 263.688, 263.672, 263.328, 263.052, 262.896, 262.896, 262.816, 262.74, 262.36, 261.984, 260.884, 260.728, 259.984, 259.976, 259.92, 259.916, 259.504, 258.392, 257.892, 257.872]",0,-135005,34824,3158,,,2117,0,32707,3158,0,-134992,0,-124822,0,0,0,0,0,0,0,-10183,0,-134992,-134992,0,-124822,-124822,0,0,0,0,0,0,0,0,0,0,-10183,-10183,0.08314,0.35897,0.0,0.0,
7,Urban,0.0,0.0,0.5,transition,True,mpc,naive,0.3820045133009813,-297.204,"[297.204, 296.632, 287.792, 287.348, 282.276, 278.972, 277.44, 277.4, 275.244, 273.928, 270.232, 266.64, 265.296, 260.104, 256.78, 253.4, 252.58, 251.14, 250.932, 250.612, 250.308, 250.1, 250.064, 249.804, 249.376, 249.352, 249.008, 248.952, 248.86, 248.616, 248.324, 247.036, 246.768, 246.552, 245.916, 245.752, 245.7, 245.636, 245.624, 244.78, 244.76, 244.412, 244.232, 243.308, 242.904, 242.816, 242.672, 242.66, 242.24, 241.676, 241.556, 241.412, 241.356, 241.248, 240.976, 240.664, 240.376, 240.348, 240.028, 239.884, 239.468, 239.364, 239.3, 239.216, 238.908, 238.696, 238.696, 238.484, 238.332, 238.24, 238.156, 237.884, 237.464, 237.336, 237.256, 236.92, 236.864, 236.64, 236.48, 236.464, 236.412, 236.388, 236.3, 236.26, 236.088, 235.776, 235.704, 235.44, 235.424, 235.132, 235.124, 234.728, 234.572, 234.568, 234.232, 234.22, 234.2, 233.944, 233.9, 233.84, 233.764]",0,-125391,32316,2760,,,1866,0,30450,2760,0,-125379,0,-115341,0,0,0,0,0,0,0,-10050,0,-125379,-125379,0,-115341,-115341,0,0,0,0,0,0,0,0,0,0,-10050,-10050,0.07869,0.33311,0.0,0.0,
8,Urban,0.0,0.0,0.5,winter,True,mpc,naive,0.3823582370159001,-343.22,"[343.22, 329.636, 329.012, 324.312, 322.98, 321.192, 319.04, 319.032, 317.872, 316.396, 313.716, 313.06, 311.384, 311.364, 310.156, 308.272, 308.208, 307.316, 306.68, 305.892, 305.308, 302.4, 302.256, 301.4, 300.408, 299.948, 299.14, 298.7, 297.876, 295.792, 294.692, 294.144, 294.056, 289.832, 289.164, 286.7, 286.408, 286.22, 285.652, 285.16, 285.088, 283.512, 283.096, 282.812, 281.952, 281.184, 278.52, 277.548, 277.484, 277.188, 276.416, 275.912, 275.104, 274.764, 274.468, 273.716, 272.456, 272.4, 272.08, 272.04, 271.616, 271.572, 271.5, 271.096, 270.02, 269.568, 268.676, 268.452, 268.224, 267.804, 267.536, 267.488, 267.444, 266.988, 266.744, 266.696, 266.572, 266.52, 266.356, 266.284, 265.94, 265.832, 265.64, 265.612, 265.552, 264.896, 264.176, 264.164, 264.132, 263.532, 263.312, 262.864, 262.56, 262.532, 262.472, 262.3, 262.22, 261.356, 261.12, 261.048, 261.004]",0,-135049,34906,3146,,,2147,0,32759,3146,0,-135036,0,-124433,0,0,0,0,0,0,0,-10616,0,-135036,-135036,0,-124433,-124433,0,0,0,0,0,0,0,0,0,0,-10616,-10616,0.08268,0.35981,0.0,0.0,
9,Urban,0.0,0.0,0.75,summer,True,mpc,naive,0.3811920772140687,-319.208,"[319.208, 318.616, 316.488, 315.12, 314.056, 313.768, 307.396, 304.94, 303.8, 303.092, 301.936, 300.208, 299.616, 299.368, 298.956, 297.256, 297.204, 296.604, 296.48, 295.908, 295.7, 295.652, 295.444, 294.66, 293.512, 292.848, 292.42, 291.78, 291.076, 289.56, 289.136, 287.824, 287.82, 287.764, 287.756, 287.152, 286.704, 286.392, 286.2, 286.08, 285.288, 285.048, 284.492, 284.328, 284.112, 283.548, 282.776, 282.772, 282.724, 282.6, 282.18, 281.692, 280.708, 280.332, 280.276, 280.156, 279.988, 279.28, 278.984, 278.708, 277.632, 277.46, 277.44, 276.992, 276.776, 276.004, 275.664, 275.452, 275.256, 274.828, 274.732, 274.432, 274.212, 273.388, 272.704, 272.172, 271.928, 271.656, 271.16, 271.092, 270.576, 270.032, 269.888, 269.84, 269.716, 269.688, 269.652, 269.248, 268.56, 268.332, 268.12, 267.48, 267.312, 266.816, 266.776, 266.452, 266.324, 266.3, 265.816, 265.752, 265.616]",0,-140044,35240,3152,,,1692,0,33548,3152,0,-140034,0,-124822,0,0,0,0,0,0,0,-15222,0,-140034,-140034,0,-124822,-124822,0,0,0,0,0,0,0,0,0,0,-15222,-15222,0.0821,0.36325,0.0,0.0,
